Marque;reporting+70;Trage;SEGMENT_MODOP;PVFP;CAYVP;NBSTIONS;NBVERSEURS;CAHVP;CAYVPUC;collecte;presta;PM actu;;;;;;;;
MMA;0;50-60ans;GP;1289665,56;24262621,61;88113,00;3626,00;22712349,09;4263524,75;36558516,67;11723584,62;590415322,22;;;;;;;;
MMA;0;50-60ans;PC;10235827,99;181149326,90;68021,00;8138,00;178965728,28;70607687,20;194725280,50;58916308,95;3522819090,06;;;;;;;;
MMA;0;50-60ans;PP;123666,44;3172906,50;1943,00;283,00;3066630,85;792035,69;3725909,31;830947,47;56296697,10;;;;;;;;
MMA;0;60-70ans;GP;1206088,01;40481422,47;89409,00;2972,00;39320847,59;4696058,43;47852368,16;21374204,94;677767280,17;;;;;;;;
MMA;0;60-70ans;PC;11770153,78;281185334,41;71615,00;6434,00;279673150,51;91241766,64;290206626,90;137944998,20;4575100818,66;;;;;;;;
MMA;0;60-70ans;PP;67941,47;2561263,20;1825,00;163,00;2518208,00;533200,02;2817946,60;873881,88;34542231,80;;;;;;;;
MMA;1;70-75ans;GP;247855,24;11176656,64;44446,00;961,00;10692079,49;1356569,35;14142718,64;7629923,41;161977834,46;;;;;;;;
MMA;1;70-75ans;PC;2650420,91;83241144,05;34307,00;1753,00;82974907,07;27357454,30;87348697,95;53211945,12;1154465531,77;;;;;;;;
MMA;1;70-75ans;PP;9003,43;526258,53;842,00;45,00;524218,13;108111,91;540724,36;169789,22;4953299,02;;;;;;;;
MMA;1;75-80ans;GP;100371,70;6697766,28;27386,00;588,00;6310919,38;555330,95;7314273,56;4444749,85;69533210,88;;;;;;;;
MMA;1;75-80ans;PC;971731,90;47054425,50;22438,00;963,00;46909574,10;16274064,70;42607242,17;28486127,77;469151688,01;;;;;;;;
MMA;1;75-80ans;PP;6026,59;434667,45;460,00;18,00;430975,63;86848,33;424217,40;178279,41;3496113,20;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
